StockCode,Description,TotalRevenue,CumRevenue,CumPct,RankPct,ABC_Class
22423,REGENCY CAKESTAND 3 TIER,286486.3,286486.3,1.6146050299860475,0.01881467544684854,A
85123A,WHITE HANGING HEART T-LIGHT HOLDER,252072.46,538558.76,3.035257472483147,0.03762935089369708,A
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,707028.36,3.98473346334113,0.05644402634054563,A
M,Manual,152340.57,859368.9299999999,4.843308029011257,0.07525870178739416,A
85099B,JUMBO BAG RED RETROSPOT,136980.08,996349.0099999999,5.615312575741383,0.09407337723424271,A
84879,ASSORTED COLOUR BIRD ORNAMENT,127074.17,1123423.18,6.331488511774982,0.11288805268109126,A
POST,POSTAGE,126563.04,1249986.22,7.044783775786996,0.1317027281279398,A
47566,PARTY BUNTING,103880.23000000001,1353866.45,7.630241237013267,0.15051740357478832,A
23166,MEDIUM CERAMIC TOP STORAGE JAR,81416.73000000001,1435283.18,8.089096902303424,0.16933207902163688,A
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,79594.33,1514877.51,8.537681723205399,0.18814675446848542,A
79321,CHILLI LIGHTS,72860.14,1587737.65,8.948313395747814,0.20696142991533395,A
21137,BLACK RECORD COVER FRAME,67209.44,1654947.0899999999,9.327098349466526,0.2257761053621825,A
85099F,JUMBO BAG STRAWBERRY,64601.65,1719548.7399999998,9.691186087817009,0.24459078080903104,A
82484,WOOD BLACK BOARD ANT WHITE FINISH,60513.09,1780061.8299999998,10.032231155221622,0.2634054562558796,A
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,57779.17,1837840.9999999998,10.357868152559432,0.28222013170272814,A
21621,VINTAGE UNION JACK BUNTING,54815.12,1892656.1199999999,10.666800092660194,0.30103480714957664,A
15056N,EDWARDIAN PARASOL NATURAL,54741.46,1947397.5799999998,10.975316893166116,0.3198494825964252,A
85099C,JUMBO  BAG BAROQUE BLACK WHITE,53168.340000000004,2000565.92,11.274967763731336,0.33866415804327377,A
22189,CREAM HEART CARD HOLDER,52627.29,2053193.21,11.571569336471585,0.35747883349012227,A
22470,HEART OF WICKER LARGE,52157.68000000001,2105350.89,11.865524239307785,0.37629350893697083,A
21623,VINTAGE UNION JACK MEMOBOARD,51465.619999999995,2156816.5100000002,12.155578768698375,0.3951081843838194,A
23084,RABBIT NIGHT LIGHT,51346.2,2208162.7100000004,12.444960260206587,0.4139228598306679,A
21733,RED HANGING HEART T-LIGHT HOLDER,50010.85,2258173.5600000005,12.726815867137454,0.43273753527751646,A
21931,JUMBO STORAGE BAG SUKI,48255.8,2306429.3600000003,12.99878020681443,0.451552210724365,A
22112,CHOCOLATE HOT WATER BOTTLE,47555.840000000004,2353985.2,13.266799649521504,0.4703668861712135,A
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,47240.020000000004,2401225.22,13.533039165717014,0.4891815616180621,A
15056BL,EDWARDIAN PARASOL BLACK,46676.22,2447901.4400000004,13.796101167609374,0.5079962370649106,A
22178,VICTORIAN GLASS HANGING T-LIGHT,46440.909999999996,2494342.3500000006,14.057836988425692,0.5268109125117592,A
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,45784.63,2540126.9800000004,14.315874087910204,0.5456255879586077,A
21181,PLEASE ONE PERSON METAL SIGN,45035.100000000006,2585162.0800000005,14.569686919399615,0.5644402634054563,A
22469,HEART OF WICKER SMALL,45020.95,2630183.0300000007,14.823420003057544,0.5832549388523048,A
22111,SCOTTIE DOG HOT WATER BOTTLE,44368.05,2674551.0800000005,15.073473414688998,0.6020696142991533,A
21843,RED RETROSPOT CAKE STAND,44314.89,2718865.9700000007,15.323227222453204,0.6208842897460018,A
22386,JUMBO BAG PINK POLKADOT,43967.14,2762833.110000001,15.571021149765263,0.6396989651928504,A
21929,JUMBO BAG PINK VINTAGE PAISLEY,43883.88,2806716.9900000007,15.818345832946637,0.658513640639699,A
21754,HOME BUILDING BLOCK WORD,43837.76,2850554.7500000005,16.065410588920383,0.6773283160865475,A
22138,BAKING SET 9 PIECE RETROSPOT ,43155.06,2893709.8100000005,16.308627723370964,0.6961429915333961,A
21731,RED TOADSTOOL LED NIGHT LIGHT,42913.71,2936623.5200000005,16.55048463597503,0.7149576669802445,A
21915,RED  HARMONICA IN BOX ,41939.65,2978563.1700000004,16.786851854392996,0.7337723424270931,A
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,41555.54,3020118.7100000004,17.021054271429293,0.7525870178739417,A
21175,GIN + TONIC DIET METAL SIGN,41373.380000000005,3061492.0900000003,17.254230054897906,0.7714016933207902,A
22457,NATURAL SLATE HEART CHALKBOARD ,41203.920000000006,3102696.0100000002,17.486450780591046,0.7902163687676388,A
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,40883.57000000001,3143579.58,17.716866049194767,0.8090310442144873,A
82494L,WOODEN FRAME ANTIQUE WHITE ,40870.82000000001,3184450.4,17.94720946021182,0.8278457196613358,A
48138,DOORMAT UNION FLAG,40720.3,3225170.6999999997,18.17670455719391,0.8466603951081844,A
21232,STRAWBERRY CERAMIC TRINKET BOX,40675.38,3265846.0799999996,18.40594649003535,0.8654750705550329,A
20727,LUNCH BAG  BLACK SKULL.,40586.2,3306432.28,18.634685814282342,0.8842897460018815,A
22502,PICNIC BASKET WICKER 60 PIECES,39619.5,3346051.78,18.857976924487375,0.90310442144873,A
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,37966.840000000004,3384018.6199999996,19.071953826128656,0.9219190968955786,A
82482,WOODEN PICTURE FRAME WHITE FINISH,37679.600000000006,3421698.2199999997,19.284311874970307,0.940733772342427,A
21166,COOK WITH WINE METAL SIGN ,37387.49,3459085.71,19.49502362423215,0.9595484477892756,A
20728,LUNCH BAG CARS BLUE,37071.43,3496157.14,19.70395409436903,0.9783631232361242,A
22629,SPACEBOY LUNCH BOX ,36862.29,3533019.43,19.91170587464894,0.9971777986829727,A
22114,HOT WATER BOTTLE TEA AND SYMPATHY,36269.270000000004,3569288.7,20.11611545994472,1.0159924741298212,A
84078A,SET/4 WHITE RETRO STORAGE CUBES ,36259.65,3605548.35,20.320470827986867,1.0348071495766697,A
23284,DOORMAT KEEP CALM AND COME IN,35913.85,3641462.2,20.522877305560716,1.0536218250235183,A
85066,CREAM SWEETHEART MINI CHEST,35889.479999999996,3677351.68,20.72514643651596,1.0724365004703669,A
20713,JUMBO BAG OWLS,35822.62,3713174.3000000003,20.92703875192259,1.0912511759172154,A
48194,DOORMAT HEARTS,35815.2,3748989.5000000005,21.12888924903173,1.110065851364064,A
23298,SPOTTY BUNTING,35539.25,3784528.7500000005,21.329184522529733,1.1288805268109126,A
84029E,RED WOOLLY HOTTIE WHITE HEART.,35261.07,3819789.8200000003,21.5279120043838,1.1476952022577611,A
22960,JAM MAKING SET WITH JARS,34851.72,3854641.5400000005,21.72433243501405,1.1665098777046097,A
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,33347.8,3887989.3400000003,21.912276939232814,1.1853245531514582,A
20726,LUNCH BAG WOODLAND,33333.11,3921322.45,22.100138652239956,1.2041392285983066,A
22197,SMALL POPCORN HOLDER,33329.68,3954652.1300000004,22.287981034147315,1.2229539040451551,A
20685,DOORMAT RED RETROSPOT,33132.45,3987784.5800000005,22.474711849637483,1.2417685794920037,A
22699,ROSES REGENCY TEACUP AND SAUCER ,33096.0,4020880.5800000005,22.66123723696811,1.2605832549388523,A
20725,LUNCH BAG RED RETROSPOT,32940.4,4053820.9800000004,22.846885679946894,1.2793979303857008,A
