StockCode,Description,TotalRevenue,AvgDailyDemand,StdDailyDemand,AvgPrice,MaxDailyDemand,SafetyStock,ReorderPoint,AnnualDemand,HoldingCostPerUnit,EOQ,ProjectedDailyDemand,ProjectedStdDemand,SafetyStock_opt,ReorderPoint_opt,AnnualDemand_opt,EOQ_opt
22423,REGENCY CAKESTAND 3 TIER,286486.3,33.692828146143434,51.07780440628168,12.461070595099184,414,222,458,12297.882273342353,2.492214119019837,444,37.782763454031944,57.27808283896607,249,514,13790.708660721659,470
85123A,WHITE HANGING HEART T-LIGHT HOLDER,252072.46,126.78890392422193,205.31107691718552,2.870366229760987,3114,893,1781,46277.949932341005,0.5740732459521974,1796,142.1796693583048,230.23356246639358,1002,1997,51895.57931578125,1902
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,109.60081190798377,2979.44923777653,2.08,80995,12966,13733,40004.29634641408,0.41600000000000004,1961,122.90513377883921,3341.1212999372883,14540,15400,44860.373829276316,2077
M,Manual,152340.57,13.265223274695535,93.37943124256269,206.44055007052188,1686,406,499,4841.80649526387,41.288110014104376,68,14.875474121044025,104.71465757657465,456,560,5429.548054181069,73
85099B,JUMBO BAG RED RETROSPOT,136980.08,128.52909336941812,178.3881084653902,1.959758928571428,1580,776,1676,46913.11907983761,0.3919517857142856,2188,144.1310984840482,200.0424445203929,871,1879,52607.850946677594,2317
84879,ASSORTED COLOUR BIRD ORNAMENT,127074.17,108.13667117726658,222.76605905756108,1.6764025927259631,3335,969,1726,39469.8849797023,0.33528051854519264,2170,121.2632626170551,249.80738566828023,1087,1936,44261.09085522511,2298
POST,POSTAGE,126563.04,7.216508795669824,8.305429591219573,29.74906964091404,52,36,87,2634.025710419486,5.949813928182809,133,8.092512851935917,9.31361654379509,41,97,2953.7671909566097,141
47566,PARTY BUNTING,103880.23000000001,31.944519621109606,52.62487697433899,4.771579443658653,365,229,453,11659.749661705006,0.9543158887317307,699,35.82222968228974,59.012952842504845,257,508,13075.113834035754,740
23166,MEDIUM CERAMIC TOP STORAGE JAR,81416.73000000001,105.43437077131259,2729.9498326606945,1.2203030303030302,74215,11880,12618,38483.545331529094,0.24406060606060606,2511,118.23293294045357,3061.335436770076,13323,14150,43155.02052326555,2659
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,79594.33,39.88768606224628,108.54013830481857,2.91933585313175,1144,472,752,14559.005412719893,0.58386717062635,999,44.72960835111851,121.71570617494383,530,843,16326.307048158254,1058
79321,CHILLI LIGHTS,72860.14,21.29228687415426,56.870113817154724,5.128968750000001,640,247,397,7771.684709066305,1.0257937500000003,551,23.876934131860423,63.77351431103825,278,445,8715.080958129054,583
21137,BLACK RECORD COVER FRAME,67209.44,26.561569688768607,90.4570294950406,3.629064748201439,1080,394,580,9694.972936400542,0.7258129496402879,731,29.785849385083463,101.43750869891609,441,650,10871.835025555463,774
85099F,JUMBO BAG STRAWBERRY,64601.65,48.84709066305819,100.20553215154162,1.9572651222651218,1026,436,778,17829.18809201624,0.3914530244530244,1350,54.776585210797435,112.36937135835092,489,872,19993.453601941063,1429
82484,WOOD BLACK BOARD ANT WHITE FINISH,60513.09,14.740189445196211,88.52773604518903,6.9418139534883725,2166,385,488,5380.169147496617,1.3883627906976745,394,16.52948481082654,99.2740204416236,432,548,6033.261955951686,417
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,57779.17,39.91610284167794,382.0040557936316,2.561663837011885,9480,1662,1942,14569.377537212447,0.512332767402377,1067,44.76147461211431,428.3751074836281,1864,2178,16337.938233421724,1129
